time,drops_per_sec,total_drops,remaining_volume
1,1.642346444727999,1.642346444727999,499.9178826777636
2,1.6808352229765826,3.3231816677045813,499.83384091661475
3,1.758555461138411,5.081737128842993,499.74591314355786
4,1.7496320473503828,6.831369176193375,499.65843154119034
5,2.2184801511693064,9.049849327362681,499.54750753363186
6,1.6687980685324841,10.718647395895164,499.46406763020525
7,2.2133121178485817,12.931959513743745,499.3534020243128
8,1.6791400009778932,14.611099514721639,499.2694450242639
9,2.255464959187915,16.866564473909555,499.1566717763045
10,1.6333443416895856,18.49990881559914,499.07500455922
11,2.3752099372907827,20.875118752889925,498.9562440623555
12,2.2294611562239055,23.10457990911383,498.8447710045443
13,1.5964697822880336,24.701049691401863,498.7649475154299
14,2.333475017644518,27.03452470904638,498.6482737645477
15,2.0095382540038718,29.04406296305025,498.54779685184747
16,2.1448968359554996,31.18895979900575,498.4405520100497
17,1.7036287187198278,32.89258851772558,498.35537057411375
18,1.7034972931675572,34.596085810893136,498.2701957094553
19,1.5650290391979362,36.161114850091074,498.19194425749544
20,2.1673922623119903,38.32850711240307,498.08357464437984
21,1.8258192600363414,40.15432637243941,497.992283681378
22,1.536438881286697,41.690765253726106,497.9154617373137
23,2.4202731021315502,44.11103835585766,497.7944480822071
24,2.287108835384827,46.39814719124249,497.68009264043786
25,1.8300740631131767,48.22822125435566,497.5885889372822
26,2.036918485835802,50.26513974019146,497.4867430129904
27,2.486700964362938,52.7518407045544,497.3624079647723
28,2.0863240627644704,54.838164767318865,497.25809176163403
29,2.3270510674662006,57.165215834785066,497.14173920826073
30,1.9360373837755838,59.10125321856065,497.04493733907196
31,2.4496324246372496,61.5508856431979,496.9224557178401
32,1.6153589004230287,63.16624454362093,496.84168777281894
33,1.8216768990140157,64.98792144263494,496.75060392786827
34,2.0116038333289694,66.99952527596392,496.65002373620183
35,2.160326178634931,69.15985145459885,496.54200742727005
36,1.5531116799109765,70.71296313450982,496.4643518432745
37,1.7306645144295414,72.44362764893935,496.37781861755303
38,1.828224630078855,74.2718522790182,496.28640738604906
39,2.4800181687826885,76.7518704478009,496.16240647761
40,2.2260995636467182,78.97797001144761,496.0511014994276
41,1.885013132792344,80.86298314423995,495.956850842788
42,1.786416974584406,82.64940011882436,495.86752999405877
43,2.1140521069460827,84.76345222577044,495.7618273887115
44,2.2780369866032117,87.04148921237365,495.64792553938133
45,2.1668008997028605,89.20829011207651,495.5395854943962
46,1.7752145153020351,90.98350462737855,495.4508247686311
47,1.5171871596279485,92.5006917870065,495.3749654106497
48,1.5764833710042936,94.07717515801079,495.29614124209945
49,1.9156578398532589,95.99283299786404,495.2003583501068
50,2.1398362751786344,98.13266927304268,495.09336653634784
51,1.831888808577429,99.96455808162011,495.001772095919
52,2.2139277163702173,102.17848579799033,494.8910757101005
53,2.2284753750258126,104.40696117301614,494.7796519413492
54,1.8014841828994332,106.20844535591557,494.6895777322042
55,2.106925808078114,108.31537116399369,494.58423144180034
56,2.433072502485246,110.74844366647893,494.46257781667606
57,1.5227402604388596,112.2711839269178,494.3864408036541
58,1.6413333404994472,113.91251726741724,494.3043741366291
59,2.4742590934850415,116.38677636090229,494.18066118195486
60,2.474061575205425,118.86083793610771,494.05695810319463
61,2.204206453260946,121.06504438936867,493.94674778053155
62,1.8503010097474655,122.91534539911613,493.8542327300442
63,1.5511782783845787,124.46652367750072,493.77667381612497
64,2.260244952483506,126.72676862998422,493.6636615685008
65,1.6143202712025757,128.3410889011868,493.58294555494064
66,1.72404790953396,130.06513681072076,493.49674315946396
67,2.3034494707786877,132.36858628149946,493.381570685925
68,1.758109186546891,134.12669546804636,493.2936652265977
69,2.315852702001119,136.44254817004747,493.17787259149765
70,2.06066045026808,138.50320862031555,493.0748395689842
71,1.9842344254052415,140.4874430457208,492.97562784771395
72,2.259882094572886,142.74732514029367,492.86263374298534
73,1.5865924818018593,144.33391762209553,492.7833041188952
74,1.9430894063224007,146.27700702841793,492.6861496485791
75,1.726200254215108,148.00320728263304,492.59983963586836
76,2.4451433924380246,150.44835067507105,492.4775824662465
77,1.6851894449849392,152.13354012005598,492.3933229939972
78,1.6332004997779097,153.76674061983388,492.3116629690083
79,1.5063896880651955,155.27313030789907,492.2363434846051
80,2.1063850125468635,157.37951532044593,492.1310242339777
81,2.3103212401643805,159.6898365606103,492.0155081719695
82,2.0505584763423634,161.74039503695266,491.9129802481524
83,2.207315017283317,163.94771005423598,491.8026144972882
84,2.157756391206901,166.1054664454429,491.69472667772783
85,1.616895873857949,167.72236231930083,491.613881884035
86,1.921848087706544,169.64421040700736,491.51778947964965
87,2.205210473217413,171.84942088022478,491.40752895598877
88,2.3986040439510914,174.24802492417587,491.2875987537912
